iter	Passed	Remaining
256	1585	4582
257	1591	4575
258	1596	4567
259	1602	4560
260	1608	4553
261	1614	4546
262	1619	4538
263	1625	4530
264	1630	4523
265	1636	4515
266	1641	4507
267	1647	4500
268	1653	4493
269	1661	4492
270	1670	4494
271	1676	4486
272	1682	4480
273	1687	4471
274	1694	4466
275	1700	4460
276	1706	4455
277	1712	4448
278	1718	4442
279	1724	4435
280	1730	4426
281	1735	4418
282	1740	4410
283	1746	4403
284	1752	4395
285	1758	4389
286	1763	4381
287	1769	4374
288	1775	4367
289	1780	4360
290	1787	4355
291	1793	4349
292	1799	4343
293	1806	4337
294	1812	4331
295	1819	4326
296	1825	4320
297	1831	4315
298	1838	4309
299	1844	4303
300	1851	4300
301	1857	4293
302	1863	4285
303	1869	4280
304	1875	4274
305	1882	4268
306	1888	4263
307	1894	4256
308	1900	4251
309	1916	4266
310	1926	4268
311	1933	4263
312	1939	4256
313	1945	4251
314	1952	4244
315	1958	4238
316	1964	4233
317	1971	4227
318	1977	4221
319	1983	4215
320	1989	4208
321	1996	4203
322	2003	4198
323	2009	4192
324	2015	4185
325	2022	4180
326	2029	4176
327	2036	4171
328	2042	4166
329	2048	4159
330	2054	4152
331	2060	4145
332	2066	4139
333	2072	4131
334	2079	4127
335	2085	4122
336	2092	4115
337	2098	4109
338	2104	4103
339	2110	4096
340	2116	4090
341	2122	4084
342	2129	4078
343	2135	4071
344	2141	4064
345	2153	4069
346	2159	4063
347	2165	4056
348	2171	4050
349	2177	4043
350	2183	4037
351	2189	4031
352	2195	4024
353	2202	4018
354	2208	4011
355	2214	4005
356	2220	3999
357	2226	3993
358	2233	3987
359	2239	3980
360	2244	3973
361	2250	3966
362	2256	3959
363	2261	3952
364	2267	3945
365	2273	3937
366	2279	3931
367	2285	3924
368	2291	3917
369	2296	3910
370	2302	3903
371	2307	3896
372	2313	3888
373	2319	3882
374	2326	3877
375	2332	3870
376	2338	3863
377	2343	3856
378	2349	3849
379	2355	3842
380	2361	3835
381	2366	3829
382	2372	3822
383	2378	3815
384	2384	3808
385	2397	3814
386	2404	3807
387	2410	3801
388	2415	3794
389	2422	3788
390	2428	3781
391	2434	3775
392	2439	3768
393	2445	3762
394	2451	3755
395	2457	3747
396	2463	3741
397	2469	3735
398	2476	3730
399	2482	3724
400	2489	3719
401	2496	3713
402	2502	3707
403	2508	3701
404	2515	3695
405	2521	3689
406	2529	3686
407	2538	3683
408	2545	3677
409	2551	3672
410	2558	3666
411	2564	3660
412	2572	3655
413	2579	3651
414	2586	3646
415	2592	3639
416	2598	3632
417	2604	3626
418	2610	3620
419	2616	3613
420	2622	3606
421	2632	3605
422	2643	3605
423	2650	3600
424	2655	3593
425	2661	3586
426	2668	3580
427	2674	3574
428	2680	3567
429	2686	3561
430	2692	3554
431	2699	3548
432	2704	3541
433	2710	3534
434	2716	3528
435	2722	3521
436	2728	3515
437	2734	3509
438	2740	3502
439	2747	3496
440	2753	3489
441	2759	3483
442	2765	3476
443	2771	3470
444	2778	3464
445	2783	3457
446	2789	3451
447	2796	3445
448	2802	3438
449	2808	3432
450	2814	3425
451	2820	3419
452	2826	3413
453	2833	3407
454	2839	3400
455	2844	3393
456	2850	3387
457	2857	3381
458	2863	3375
459	2877	3377
460	2886	3374
461	2895	3371
462	2901	3365
463	2908	3359
464	2914	3353
465	2921	3348
466	2930	3344
467	2937	3338
468	2944	3333
469	2949	3326
470	2957	3321
471	2963	3315
472	2970	3309
473	2977	3304
474	2984	3298
475	2991	3292
476	2997	3286
477	3004	3281
478	3010	3274
479	3017	3269
480	3023	3262
481	3029	3255
482	3036	3249
483	3041	3242
484	3048	3237
485	3054	3230
486	3060	3224
487	3070	3221
488	3076	3215
489	3083	3209
490	3089	3202
491	3096	3197
492	3102	3190
493	3109	3184
494	3120	3183
495	3129	3179
496	3135	3173
497	3141	3167
498	3148	3160
499	3154	3154
500	3162	3149
501	3168	3143
502	3174	3136
503	3181	3130
504	3187	3124
505	3192	3117
506	3198	3110
507	3204	3103
508	3211	3097
509	3217	3091
510	3224	3085
511	3230	3078
512	3236	3072
513	3243	3066
514	3249	3060
515	3256	3055
516	3263	3048
517	3269	3042
518	3276	3036
519	3282	3029
520	3290	3025
521	3296	3018
522	3303	3012
523	3309	3006
524	3315	2999
525	3322	2993
526	3328	2987
527	3335	2981
528	3341	2974
529	3346	2967
530	3359	2967
531	3365	2960
532	3372	2954
533	3378	2947
534	3384	2941
535	3391	2935
536	3397	2929
537	3403	2922
538	3409	2915
539	3415	2909
540	3422	2903
541	3427	2896
542	3434	2890
543	3440	2884
544	3446	2877
545	3452	2870
546	3458	2863
547	3464	2857
548	3470	2850
549	3476	2844
550	3481	2837
551	3487	2830
552	3493	2823
553	3499	2816
554	3504	2810
555	3510	2803
556	3516	2796
557	3522	2789
558	3528	2783
559	3533	2776
560	3539	2770
561	3545	2763
562	3551	2756
563	3557	2749
564	3562	2743
565	3569	2736
566	3575	2730
567	3581	2724
568	3588	2717
569	3595	2712
570	3601	2705
571	3608	2700
572	3615	2694
573	3622	2688
574	3629	2682
575	3638	2678
576	3647	2673
577	3657	2670
578	3678	2674
579	3687	2670
580	3718	2682
581	3736	2683
582	3746	2680
583	3768	2684
584	3777	2679
585	3786	2674
586	3794	2669
587	3802	2664
588	3809	2658
589	3817	2652
590	3824	2646
591	3834	2642
592	3841	2636
593	3848	2630
594	3854	2623
595	3860	2616
596	3867	2610
597	3874	2604
598	3880	2597
599	3888	2592
600	3900	2589
601	3908	2583
602	3917	2579
603	3922	2572
604	3930	2566
605	3938	2560
606	3946	2555
607	3952	2548
608	3960	2542
609	3966	2535
610	3972	2528
611	3979	2522
612	3984	2515
613	3990	2508
614	3996	2501
615	4002	2494
616	4010	2489
617	4016	2482
618	4022	2476
619	4028	2469
620	4034	2462
621	4041	2456
622	4047	2449
623	4053	2442
624	4062	2437
625	4069	2431
626	4075	2424
627	4081	2417
628	4088	2411
629	4094	2404
630	4101	2398
631	4107	2391
632	4113	2384
633	4120	2378
634	4126	2371
635	4132	2365
636	4140	2359
637	4146	2352
638	4154	2347
639	4162	2341
640	4175	2338
641	4183	2333
642	4191	2327
643	4202	2323
644	4210	2317
645	4221	2313
646	4232	2309
647	4240	2303
648	4248	2297
649	4256	2291
650	4264	2286
651	4271	2279
652	4281	2275
653	4291	2270
654	4300	2265
655	4308	2259
656	4317	2254
657	4325	2248
658	4334	2242
659	4342	2237
660	4350	2231
661	4360	2226
662	4367	2220
663	4374	2213
664	4381	2207
665	4389	2201
666	4395	2194
667	4402	2188
668	4410	2182
669	4416	2175
670	4423	2168
671	4429	2161
672	4436	2155
673	4443	2149
674	4449	2142
675	4457	2136
676	4463	2129
677	4473	2124
678	4478	2117
679	4486	2111
680	4493	2104
681	4502	2099
682	4508	2092
683	4514	2085
684	4520	2078
685	4528	2072
686	4534	2066
687	4541	2059
688	4549	2053
689	4554	2046
690	4560	2039
691	4568	2033
692	4574	2026
693	4582	2020
694	4588	2013
695	4593	2006
696	4599	1999
697	4605	1992
698	4620	1989
699	4627	1983
700	4633	1976
701	4639	1969
702	4646	1962
703	4652	1956
704	4659	1949
705	4668	1944
706	4674	1937
707	4680	1930
708	4686	1923
709	4692	1916
710	4698	1909
711	4704	1902
712	4711	1896
713	4717	1889
714	4723	1882
715	4728	1875
716	4734	1868
717	4740	1861
718	4746	1854
719	4752	1848
720	4758	1841
721	4764	1834
722	4773	1828
723	4779	1822
724	4785	1815
725	4792	1808
726	4797	1801
727	4803	1794
728	4809	1787
729	4815	1780
730	4822	1774
731	4828	1767
732	4834	1761
733	4840	1754
734	4846	1747
735	4852	1740
736	4858	1733
737	4864	1726
738	4870	1720
739	4876	1713
740	4883	1707
741	4889	1700
742	4896	1693
743	4903	1687
744	4909	1680
745	4915	1673
746	4921	1666
747	4927	1660
748	4935	1653
749	4940	1646
750	4947	1640
751	4952	1633
752	4958	1626
753	4967	1620
754	4973	1614
755	4980	1607
756	4986	1600
757	4992	1593
758	4998	1587
759	5003	1580
760	5009	1573
761	5015	1566
762	5021	1559
763	5028	1553
764	5034	1546
765	5040	1539
766	5046	1533
767	5053	1526
768	5060	1520
769	5066	1513
770	5075	1507
771	5081	1500
772	5086	1493
773	5093	1487
774	5098	1480
775	5104	1473
776	5110	1466
777	5117	1460
778	5124	1453
779	5130	1446
780	5136	1440
781	5142	1433
782	5148	1426
783	5154	1420
784	5160	1413
785	5166	1406
786	5173	1400
787	5178	1393
788	5185	1386
789	5190	1379
790	5196	1373
791	5203	1366
792	5209	1359
793	5215	1353
794	5222	1346
795	5228	1340
796	5236	1333
797	5242	1327
798	5248	1320
799	5254	1313
800	5259	1306
801	5268	1300
802	5274	1294
803	5280	1287
804	5286	1280
805	5293	1274
806	5299	1267
807	5304	1260
808	5310	1253
809	5317	1247
810	5322	1240
811	5328	1233
812	5334	1227
813	5340	1220
814	5346	1213
815	5352	1206
816	5357	1200
817	5364	1193
818	5370	1186
819	5377	1180
820	5383	1173
821	5389	1166
822	5396	1160
823	5402	1153
824	5408	1147
825	5415	1140
826	5420	1133
827	5428	1127
828	5434	1120
829	5440	1114
830	5446	1107
831	5452	1100
832	5459	1094
833	5464	1087
834	5470	1081
835	5477	1074
836	5482	1067
837	5488	1061
838	5494	1054
839	5500	1047
840	5506	1041
841	5512	1034
842	5518	1027
843	5524	1021
844	5530	1014
845	5538	1008
846	5544	1001
847	5551	995
848	5557	988
849	5563	981
850	5569	975
851	5575	968
852	5581	961
853	5589	955
854	5594	948
855	5601	942
856	5607	935
857	5613	929
858	5621	922
859	5628	916
860	5634	909
861	5639	902
862	5647	896
863	5652	889
864	5658	883
865	5664	876
866	5670	869
867	5676	863
868	5681	856
869	5687	849
870	5697	843
871	5703	837
872	5710	830
873	5715	823
874	5721	817
875	5727	810
876	5733	804
877	5739	797
878	5745	790
879	5751	784
880	5757	777
881	5764	771
882	5770	764
883	5776	758
884	5782	751
885	5788	744
886	5794	738
887	5799	731
888	5808	725
889	5814	718
890	5821	712
891	5826	705
892	5833	698
893	5840	692
894	5846	685
895	5853	679
896	5859	672
897	5866	666
898	5873	659
899	5881	653
900	5887	646
901	5895	640
902	5902	634
903	5908	627
904	5916	621
905	5934	615
906	5941	609
907	5948	602
908	5955	596
909	5962	589
910	5969	583
911	5976	576
912	5982	570
913	5989	563
914	5997	557
915	6003	550
916	6011	544
917	6017	537
918	6023	530
919	6029	524
920	6035	517
921	6042	511
922	6048	504
923	6055	498
924	6062	491
925	6069	485
926	6076	478
927	6082	471
928	6088	465
929	6095	458
930	6102	452
931	6111	445
932	6117	439
933	6123	432
934	6129	426
935	6135	419
936	6141	412
937	6147	406
938	6154	399
939	6161	393
940	6167	386
941	6173	380
942	6179	373
943	6185	366
944	6191	360
945	6197	353
946	6203	347
947	6210	340
948	6215	334
949	6222	327
950	6228	320
951	6234	314
952	6240	307
953	6245	301
954	6252	294
955	6257	288
956	6263	281
957	6271	274
958	6277	268
959	6284	261
960	6289	255
961	6296	248
962	6308	242
963	6315	235
964	6321	229
965	6327	222
966	6332	216
967	6338	209
968	6345	202
969	6350	196
970	6356	189
971	6362	183
972	6368	176
973	6374	170
974	6380	163
975	6386	157
976	6392	150
977	6398	143
978	6404	137
979	6412	130
980	6418	124
981	6424	117
982	6430	111
983	6436	104
984	6442	98
985	6447	91
986	6453	84
987	6460	78
988	6466	71
989	6471	65
990	6478	58
991	6483	52
992	6490	45
993	6495	39
994	6501	32
995	6508	26
996	6513	19
997	6520	13
998	6525	6
999	6531	0
