iter	RMSE
442	0.1296826068
443	0.1296198947
444	0.1294605434
445	0.1293257318
446	0.1291611161
447	0.1290870333
448	0.1289847166
449	0.1288604767
450	0.1287194122
451	0.1285376194
452	0.1284374751
453	0.128307255
454	0.1281978224
455	0.1281860881
456	0.128082784
457	0.1279845867
458	0.1278222385
459	0.1277642506
460	0.1275822197
461	0.1274574207
462	0.1273231833
463	0.1271369762
464	0.1270801144
465	0.1269558863
466	0.1267687111
467	0.1266342978
468	0.1265076033
469	0.1263768777
470	0.1263011551
471	0.1262817527
472	0.1261841625
473	0.1261778735
474	0.1260632194
475	0.1259030917
476	0.1257279197
477	0.1255369547
478	0.1253398935
479	0.1252598153
480	0.1251268082
481	0.124991958
482	0.1249188291
483	0.1247985571
484	0.1246042762
485	0.124499667
486	0.1243207748
487	0.124226262
488	0.1240803276
489	0.1240074509
490	0.1238970447
491	0.1237278875
492	0.123612838
493	0.1236067379
494	0.1234332773
495	0.1232525975
496	0.1231517998
497	0.1230298522
498	0.1229279301
499	0.1228077598
500	0.1226913958
501	0.1226170738
502	0.1225129037
503	0.1223911509
504	0.1222813913
505	0.122202106
506	0.1220265398
507	0.1219437531
508	0.1218705581
509	0.121749377
510	0.1216380912
511	0.1214985709
512	0.1213445779
513	0.1211510725
514	0.121040554
515	0.1208829
516	0.120838736
517	0.1205926831
518	0.1204696609
519	0.1203529235
520	0.120147379
521	0.1200709186
522	0.1199790301
523	0.1198800543
524	0.1197784892
525	0.1196906271
526	0.119565977
527	0.1194150537
528	0.1193298698
529	0.1192339956
530	0.1191916751
531	0.119099178
532	0.1189645728
533	0.1188606563
534	0.1187112002
535	0.118544821
536	0.1183700678
537	0.1182673551
538	0.118168616
539	0.1180812292
540	0.1179226468
541	0.1178444555
542	0.1176249363
543	0.1174418604
544	0.1173396788
545	0.1172661393
546	0.1171651843
547	0.1170143028
548	0.116892712
549	0.1167778672
550	0.1166350026
551	0.1164911335
552	0.1163869916
553	0.1162859518
554	0.1161962835
555	0.1160607665
556	0.1160536936
557	0.1159688527
558	0.1159073021
559	0.1158157374
560	0.1156782862
561	0.1155506604
562	0.1154335843
563	0.1153837107
564	0.1152831454
565	0.1151716669
566	0.1151079215
567	0.1150354223
568	0.1149278571
569	0.1148318702
570	0.1147996946
571	0.114749065
572	0.1146254517
573	0.1144326059
574	0.1143116564
575	0.1142162158
576	0.1141630509
577	0.1140236235
578	0.11394156
579	0.1137999304
580	0.1136614357
581	0.1135879439
582	0.1134875647
583	0.113345317
584	0.1132940858
585	0.1131700376
586	0.1130896444
587	0.1130221956
588	0.1129551786
589	0.1128525347
590	0.1126982801
591	0.1125633338
592	0.1125154512
593	0.1124352795
594	0.1124293302
595	0.1123017333
596	0.1122249046
597	0.1121207167
598	0.1120832481
599	0.1120238299
600	0.1119384291
601	0.1117866725
602	0.1116476093
603	0.1115662906
604	0.1114622653
605	0.1113645256
606	0.1112484807
607	0.1111317913
608	0.1110697851
609	0.1109263496
610	0.1107945631
611	0.1107283174
612	0.1106558396
613	0.1105556612
614	0.1104476453
615	0.110380219
616	0.1103203024
617	0.1101735775
618	0.1100895804
619	0.1099637526
620	0.109887029
621	0.1097855548
622	0.1096881377
623	0.1095849046
624	0.1094673856
625	0.1093587624
626	0.109265153
627	0.1091753784
628	0.1091070973
629	0.1089600929
630	0.1088164679
631	0.1087876852
632	0.1087229712
633	0.1085812251
634	0.1084978809
635	0.1083482139
636	0.1082647593
637	0.1081542961
638	0.107985735
639	0.1078525241
640	0.1077209727
641	0.107567664
642	0.1074719801
643	0.1074037604
644	0.1072742595
645	0.1071726139
646	0.1070730631
647	0.1070252188
648	0.1069487415
649	0.1067949518
650	0.1067003979
651	0.1066121858
652	0.1064864863
653	0.106391996
654	0.1062487979
655	0.1061717884
656	0.1060396369
657	0.1060347522
658	0.105934519
659	0.1058801644
660	0.105861868
661	0.1057710055
662	0.105697079
663	0.1056108379
664	0.1055531382
665	0.1054673944
666	0.1053841316
667	0.1052631775
668	0.105146064
669	0.1050276562
670	0.1049268055
671	0.1047699631
672	0.1047651902
673	0.1046298136
674	0.1045065404
675	0.1044155675
676	0.1043915499
677	0.1042748889
678	0.1042230302
679	0.1041707298
680	0.1040875838
681	0.1039977674
682	0.1039225655
683	0.1037419314
684	0.1036163588
685	0.1035658445
686	0.1034745674
687	0.1034332872
688	0.10335163
689	0.103260976
690	0.1031879927
691	0.1031192024
692	0.1031141339
693	0.1029839798
694	0.1028775225
695	0.1027808292
696	0.1026960607
697	0.1025758763
698	0.1024919505
699	0.1023586133
700	0.1022237513
701	0.1021587777
702	0.1020781689
703	0.1020095122
704	0.1019319553
705	0.1018515873
706	0.1017909198
707	0.101768758
708	0.1016803524
709	0.1016107352
710	0.1014841199
711	0.1013520371
712	0.1012516731
713	0.1011103679
714	0.1010008991
715	0.1008799651
716	0.100820029
717	0.1007194365
718	0.1006436371
719	0.1005976741
720	0.1004699338
721	0.1004209553
722	0.1003260146
723	0.1003186884
724	0.1002583673
725	0.1001276895
726	0.1000642384
727	0.09997488968
728	0.09986458736
729	0.09980889786
730	0.09971179727
731	0.09960968147
732	0.09953217554
733	0.09942939969
734	0.09935498324
735	0.09927203626
736	0.09919548308
737	0.0991355827
738	0.09904964292
739	0.09899968217
740	0.09895417774
741	0.09887706129
742	0.09883476608
743	0.09870082999
744	0.09864394186
745	0.09857482461
746	0.0984894427
747	0.09848566657
748	0.09843836181
749	0.0983444007
750	0.09821205409
751	0.09808724381
752	0.09800285058
753	0.09799849674
754	0.09792403867
755	0.0978261878
756	0.09782195065
757	0.09774289806
758	0.09770094516
759	0.09769738745
760	0.09767082592
761	0.0975986359
762	0.09754143609
763	0.09744061667
764	0.09734169796
765	0.09727856892
766	0.09717406676
767	0.09714584525
768	0.09709752813
769	0.09701360813
770	0.09698483228
771	0.09689415501
772	0.0967686085
773	0.09666555793
774	0.09659443507
775	0.09650231034
776	0.09641132564
777	0.09628340977
778	0.09620098451
779	0.09607876635
780	0.09602602567
781	0.09601048832
782	0.09592340357
783	0.09577454685
784	0.09571259918
785	0.09559720544
786	0.09552291707
787	0.09546787636
788	0.09540488413
789	0.09533786887
790	0.09524640316
791	0.09517941724
792	0.09510148749
793	0.09498976552
794	0.09494266708
795	0.09485944489
796	0.09476506312
797	0.09476203005
798	0.09475840368
799	0.094755888
800	0.0946180835
801	0.09451211389
802	0.09443130551
803	0.09438397858
804	0.09431891405
805	0.09423819264
806	0.09421082991
807	0.09413342376
808	0.09406738335
809	0.09396450336
810	0.09393740158
811	0.09390449606
812	0.09379371032
813	0.09371273686
814	0.09363696476
815	0.09356537977
816	0.09350443872
817	0.09346987656
818	0.09345188029
819	0.09339417234
820	0.09335664107
821	0.09333109976
822	0.09332847257
823	0.09325055225
824	0.09312493731
825	0.09303620768
826	0.0929934171
827	0.0929360226
828	0.09286982308
829	0.09277377558
830	0.09267311408
831	0.09258165083
832	0.09247097518
833	0.09240495793
834	0.09231694269
835	0.09224728222
836	0.09224353903
837	0.09213896137
838	0.0920884988
839	0.09204578727
840	0.092000608
841	0.09199749284
842	0.09199454195
843	0.09192919112
844	0.09192662767
845	0.09185716227
846	0.09178112196
847	0.09170737237
848	0.09166930026
849	0.09164583623
850	0.09154137377
851	0.09146170287
852	0.09133523816
853	0.09122024786
854	0.09113707641
855	0.09113370736
856	0.09101780718
857	0.09092898967
858	0.09084898065
859	0.09070803663
860	0.09066126206
861	0.09065744926
862	0.09060907231
863	0.09054309496
864	0.09046180335
865	0.09042812872
866	0.09037804949
867	0.09034570576
868	0.09027837179
869	0.09026364905
870	0.09015515611
871	0.09008315858
872	0.09001083986
873	0.08989745931
874	0.08978801687
875	0.08971340465
876	0.08971102346
877	0.08965239957
878	0.08954860277
879	0.08950449777
880	0.08942799422
881	0.08935373552
882	0.08929978654
883	0.08929538834
884	0.08929211805
885	0.08927669632
886	0.08927356861
887	0.08921681942
888	0.08913876441
889	0.08909917749
890	0.08905264156
891	0.08895117137
892	0.08884678014
893	0.08879194948
894	0.08874884371
895	0.08868118377
896	0.08855684692
897	0.08849114517
898	0.088385267
899	0.0883026378
900	0.0882363046
901	0.08820695039
902	0.08815939167
903	0.08806670626
904	0.08801907616
905	0.08801692552
906	0.08797074143
907	0.08790634576
908	0.08785359981
909	0.08785151991
910	0.08784418026
911	0.08777318194
912	0.08768721038
913	0.08768509122
914	0.087682977
915	0.08758079399
916	0.08752756033
917	0.08742590784
918	0.08742139519
919	0.08738077399
920	0.0872904358
921	0.08719975211
922	0.08719682299
923	0.08712494556
924	0.08708946984
925	0.08708610708
926	0.08698473035
927	0.08693886074
928	0.0869252829
929	0.08681126462
930	0.08678472428
931	0.08678216258
932	0.08670456168
933	0.08660499204
934	0.08652958124
935	0.08647286144
936	0.08638786228
937	0.08635713422
938	0.0863026824
939	0.08622633588
940	0.08622459005
941	0.08616961536
942	0.08612909025
943	0.08608484493
944	0.08602985692
945	0.08594953355
946	0.0859191621
947	0.08584222784
948	0.08580807055
949	0.08573052723
950	0.08572751991
951	0.08567421662
952	0.08567249202
953	0.08557702903
954	0.08555730767
955	0.08548822474
956	0.0853693019
957	0.08536684747
958	0.08530255828
959	0.08524962249
960	0.08520038753
961	0.08515267662
962	0.08504935455
963	0.08498546943
964	0.0849439449
965	0.08488290941
966	0.08481479633
967	0.08475049609
968	0.08468066137
969	0.08461686868
970	0.08458721634
971	0.08454433263
972	0.08452190949
973	0.0845098614
974	0.08446536957
975	0.084381017
976	0.08426258222
977	0.08419387632
978	0.08410738434
979	0.08410455872
980	0.08410230095
981	0.08405582941
982	0.08399184454
983	0.08392382567
984	0.08390306525
985	0.08384434356
986	0.08383255594
987	0.08375070516
988	0.08366733222
989	0.08362721026
990	0.08355438146
991	0.08348433869
992	0.08337541337
993	0.08337277624
994	0.08332380503
995	0.08331003336
996	0.08324082654
997	0.08312581249
998	0.08304508566
999	0.08299569857
