Name,RMSE,MAE,MedianAE,R2
CatBoostRegressor,0.09165802971215171,0.052540080201084007,0.025222410211763614,0.8897591594814414
LGBMRegressor,0.09686430253461874,0.05513597534921507,0.02512724485698712,0.8773372288383385
HistGradientBoostingRegressor,0.09771093176338504,0.05539312475290582,0.02578607655406495,0.8750800411122253
RandomForestRegressor,0.10160029402416279,0.0559796579861578,0.02172203137330895,0.8651748412815954
XGBRegressor,0.10286259994103278,0.058866571508896105,0.025025291202948986,0.8614885644025533
GradientBoostingRegressor,0.10658227404379557,0.06298933891741543,0.033463800233128095,0.8509116179893563
ExtraTreesRegressor,0.10916248667739263,0.0650727015726148,0.03327179849918407,0.8446795687124127
AdaBoostRegressor,0.15090459549053287,0.11412310459388472,0.0908677058003616,0.7015514459154536
KNeighborsRegressor,0.19565270919741556,0.1392582337885048,0.10091624000392825,0.5016534413614688
BayesianRidge,0.20004946589173614,0.1533263696717823,0.12628714970987948,0.4776672619839727
Ridge,0.2040496224712744,0.15490417713945565,0.12549861456762565,0.4546146916725767
ARDRegression,0.20616335464923696,0.15537548243667718,0.12426268131654457,0.44200645893939905
ElasticNet,0.27780359550296485,0.18536922607488399,0.10350068106640994,-0.0037007119552842304
Lasso,0.27780359550296485,0.18536922607488399,0.10350068106640994,-0.0037007119552842304
IsolationForest,11.283392281704197,11.2652827712317,11.098292049842446,-1672.8610480179857
